Year,Week Index,Sessions
2015,33,"40,253"
2015,34,"39,730"
2015,35,"39,643"
2015,36,"38,622"
2015,37,"38,323"
2015,38,"36,989"
2015,39,"36,032"
2015,40,"36,133"
2015,41,"35,277"
2015,42,"39,907"
2015,43,"38,188"
2015,44,"38,235"
